Date	Type
26.2.-1798T19:3:40	T
22.8.-1798T23:21:6	T
15.2.-1797T21:20:35	P
12.8.-1797T11:39:35	P
26.12.-1796T11:34:15	P
21.6.-1795T2:19:43	P
16.12.-1795T2:10:11	T
10.6.-1794T8:23:6	T
5.12.-1794T11:14:6	P
30.5.-1793T21:32:54	P
20.4.-1792T7:54:23	P
13.10.-1792T18:19:9	P
9.4.-1791T22:2:55	T
3.10.-1791T2:13:16	T
30.3.-1790T5:23:7	P
22.9.-1790T16:17:48	P
6.2.-1788T18:18:4	P
2.8.-1788T9:9:0	P
26.1.-1787T5:18:27	T
22.7.-1787T12:41:32	T
15.1.-1786T20:48:49	P
11.7.-1786T12:57:0	P
26.11.-1785T7:2:14	P
20.5.-1784T21:43:9	T
14.11.-1784T7:15:24	T
10.5.-1783T15:1:12	T
3.11.-1783T6:59:54	P
21.3.-1781T1:35:12	P
13.9.-1781T15:41:55	P
9.3.-1780T1:55:13	T
2.9.-1780T7:30:28	T
26.2.-1779T4:41:16	P
22.8.-1779T19:18:32	P
6.1.-1777T20:13:25	P
2.7.-1777T8:56:57	P
27.12.-1777T10:45:26	T
20.6.-1776T15:22:56	T
15.12.-1776T19:31:4	P
10.6.-1775T4:52:44	P
1.5.-1774T15:16:31	P
25.10.-1774T2:32:2	P
21.4.-1773T5:8:26	T
14.10.-1773T10:44:3	T
9.4.-1772T12:4:16	P
3.10.-1772T0:55:31	P
17.2.-1770T1:54:18	P
13.8.-1770T16:33:8	P
6.2.-1769T13:26:34	T
2.8.-1769T19:33:51	T
27.1.-1768T5:14:46	P
21.7.-1768T19:42:6	P
6.12.-1767T15:15:25	P
1.6.-1766T5:4:33	T
25.11.-1766T15:17:28	T
21.5.-1765T22:22:53	T
14.11.-1765T15:12:57	P
31.3.-1763T8:15:18	P
24.9.-1763T0:14:4	P
20.3.-1762T8:39:14	T
13.9.-1762T15:47:21	T
9.3.-1761T11:55:41	P
3.9.-1761T3:5:25	P
17.1.-1759T4:44:54	P
12.7.-1759T15:42:26	P
6.1.-1758T19:11:58	T
1.7.-1758T22:30:36	T
27.12.-1758T3:41:34	P
21.6.-1757T12:16:23	P
4.11.-1756T10:50:47	P
1.5.-1755T12:6:30	T
24.10.-1755T19:21:55	T
20.4.-1754T18:38:47	P
14.10.-1754T9:39:21	P
28.2.-1752T9:24:50	P
24.8.-1752T0:3:32	P
16.2.-1751T21:28:4	T
13.8.-1751T2:34:35	T
6.2.-1750T13:31:39	P
2.8.-1750T2:38:15	P
17.12.-1749T23:23:10	P
11.6.-1748T12:28:41	P
5.12.-1748T23:16:41	T
1.6.-1747T5:43:31	T
24.11.-1747T23:27:10	P
21.5.-1746T20:22:41	P
11.4.-1745T14:47:59	P
5.10.-1745T8:53:51	P
30.3.-1744T15:15:32	T
24.9.-1744T0:11:36	T
19.3.-1743T19:3:16	P
13.9.-1743T11:0:0	P
28.1.-1741T13:9:56	P
23.7.-1741T22:35:57	P
18.1.-1740T3:32:7	T
12.7.-1740T5:45:25	T
6.1.-1739T11:44:12	P
1.7.-1739T19:45:44	P
15.11.-1738T19:10:36	P
12.5.-1737T19:2:34	T
5.11.-1737T4:3:35	T
1.5.-1736T1:6:59	T
24.10.-1736T18:28:29	P
10.3.-1734T16:46:27	P
4.9.-1734T7:43:13	P
28.2.-1733T5:21:35	T
24.8.-1733T9:43:25	T
17.2.-1732T21:40:58	P
12.8.-1732T9:43:34	P
28.12.-1731T7:25:21	P
22.6.-1730T19:56:47	P
17.12.-1730T7:12:40	T
12.6.-1729T13:6:26	T
6.12.-1729T7:41:29	P
1.6.-1728T3:23:0	P
15.10.-1727T17:38:49	P
10.4.-1726T21:47:7	T
5.10.-1726T8:42:15	T
31.3.-1725T2:6:25	P
24.9.-1725T19:0:40	P
7.2.-1723T21:24:26	P
3.8.-1723T5:40:26	P
28.1.-1722T11:41:42	T
23.7.-1722T13:9:47	T
17.1.-1721T19:37:38	P
13.7.-1721T3:21:41	P
26.11.-1720T3:33:39	P
23.5.-1719T1:54:21	T
15.11.-1719T12:48:9	T
12.5.-1718T7:31:52	T
5.11.-1718T3:21:21	P
21.3.-1716T0:4:0	P
14.9.-1716T15:29:15	P
10.3.-1715T13:7:40	T
3.9.-1715T17:1:59	T
28.2.-1714T5:41:40	P
23.8.-1714T16:59:56	P
8.1.-1712T15:18:57	P
3.7.-1712T3:29:16	P
27.12.-1712T15:2:57	T
22.6.-1711T20:31:26	T
16.12.-1711T15:52:3	P
12.6.-1710T10:23:58	P
27.10.-1709T2:28:46	P
21.4.-1708T4:13:56	T
15.10.-1708T17:18:35	T
10.4.-1707T9:3:58	T
5.10.-1707T3:8:40	P
19.2.-1705T5:31:52	P
14.8.-1705T12:54:55	P
8.2.-1704T19:42:44	T
2.8.-1704T20:42:26	T
28.1.-1703T3:21:17	P
23.7.-1703T11:5:3	P
7.12.-1702T11:54:39	P
3.6.-1701T8:45:28	P
26.11.-1701T21:32:42	T
22.5.-1700T13:54:1	T
15.11.-1700T12:15:37	P
1.4.-1698T7:15:2	P
25.9.-1698T23:22:45	P
21.3.-1697T20:47:23	T
15.9.-1697T0:29:36	T
10.3.-1696T13:33:53	P
3.9.-1696T0:26:30	P
18.1.-1694T23:3:45	P
14.7.-1694T11:8:16	P
7.1.-1693T22:47:52	T
4.7.-1693T3:59:35	T
27.12.-1693T23:59:54	P
22.6.-1692T17:26:19	P
6.11.-1691T11:21:8	P
2.5.-1690T10:39:50	P
27.10.-1690T1:57:43	T
21.4.-1689T16:0:7	T
16.10.-1689T11:21:25	P
1.3.-1687T13:28:51	P
24.8.-1687T20:21:14	P
19.2.-1686T3:31:51	T
14.8.-1686T4:26:3	T
8.2.-1685T10:54:45	P
3.8.-1685T18:55:11	P
17.12.-1684T20:13:54	P
13.6.-1683T15:35:47	P
7.12.-1683T6:16:55	T
2.6.-1682T20:16:30	T
26.11.-1682T21:9:36	P
22.5.-1681T20:55:7	P
6.10.-1680T7:22:3	P
1.4.-1679T4:21:26	T
25.9.-1679T8:5:39	T
21.3.-1678T21:18:27	T
14.9.-1678T8:4:12	P
30.1.-1676T6:38:13	P
24.7.-1676T18:54:2	P
18.1.-1675T6:22:49	T
14.7.-1675T11:32:56	T
7.1.-1674T8:1:19	P
4.7.-1674T0:31:48	P
17.11.-1673T20:16:1	P
12.5.-1672T17:2:20	P
6.11.-1672T10:40:38	T
1.5.-1671T22:53:22	T
26.10.-1671T19:38:10	P
21.4.-1670T11:48:3	P
12.3.-1669T21:19:9	P
1.3.-1668T11:12:32	T
24.8.-1668T12:18:49	T
18.2.-1667T18:16:25	P
14.8.-1667T2:54:28	T
29.12.-1666T4:27:39	P
24.6.-1665T22:28:52	P
18.12.-1665T14:57:40	T
13.6.-1664T2:38:41	T
7.12.-1664T6:2:0	P
2.6.-1663T3:14:41	P
17.10.-1662T15:27:46	P
12.4.-1661T11:50:29	T
6.10.-1661T15:49:22	T
1.4.-1660T4:56:16	T
24.9.-1660T15:51:52	T
9.2.-1658T14:3:5	P
5.8.-1658T2:46:59	P
29.1.-1657T13:50:58	T
25.7.-1657T19:11:47	T
18.1.-1656T15:56:49	P
14.7.-1656T7:40:33	P
28.11.-1655T5:8:48	P
23.5.-1654T23:27:40	P
17.11.-1654T19:23:28	T
13.5.-1653T5:47:0	T
7.11.-1653T3:56:46	P
1.5.-1652T19:6:32	P
23.3.-1651T4:59:2	P
12.3.-1650T18:42:9	T
4.9.-1650T20:21:35	T
2.3.-1649T1:27:51	P
25.8.-1649T11:1:55	T
8.1.-1647T12:37:16	P
5.7.-1647T5:24:22	P
28.12.-1647T23:34:13	T
24.6.-1646T9:4:57	T
18.12.-1646T14:51:43	P
13.6.-1645T9:37:51	P
27.10.-1644T23:36:20	P
22.4.-1643T19:15:48	T
